Date,Open,High,Low,Close,Adj Close,Volume
07-08-08,23.244286,23.735714,23.071428,23.367144,15.648111,168093100
08-08-08,23.408571,24.235714,23.392857,24.221428,16.220194,178499300
11-08-08,24.295713,25.214285,24.238571,24.794285,16.603811,222826100
12-08-08,24.788572,25.612858,24.787144,25.247143,16.907074,209069700
13-08-08,25.425714,25.714285,25.128571,25.614286,17.152937,210586600
14-08-08,25.475714,25.778572,25.405714,25.617144,17.15485,177825200
15-08-08,25.577143,25.678572,25.007143,25.105715,16.812365,177062900
18-08-08,25.081429,25.401428,24.831429,25.055714,16.778877,138003600
19-08-08,24.934286,25.295713,24.544285,24.790001,16.600939,154051100
20-08-08,24.967142,25.277143,24.801428,25.120001,16.821934,126737800
21-08-08,24.924286,25.064285,24.555714,24.898571,16.673649,134936200
22-08-08,25.117144,25.357143,25.081429,25.255714,16.912815,109902800
25-08-08,25.164286,25.175714,24.522858,24.65,16.507187,121106300
26-08-08,24.68,24.982857,24.658571,24.805714,16.611465,111387500
27-08-08,24.758572,25.108572,24.598572,24.952858,16.710001,119445200
28-08-08,25.040001,25.178572,24.678572,24.82,16.621029,107846200
29-08-08,24.70857,24.785715,24.148571,24.218571,16.218275,149822400
02-09-08,24.628571,24.785715,23.571428,23.741428,15.898748,195190800
03-09-08,23.834286,24.097143,23.428572,23.851429,15.972415,183708700
04-09-08,23.694286,23.987143,22.972857,23.031429,15.423292,185846500
05-09-08,22.655714,23.200001,22.521429,22.882856,15.323796,196721000
08-09-08,23.51,23.555714,21.637142,22.559999,15.107591,261494800
09-09-08,22.408571,22.851429,21.398571,21.668571,14.510637,311256400
10-09-08,21.76,22.141428,21.257143,21.658571,14.503941,243285700
11-09-08,21.168571,21.855715,20.857143,21.807142,14.603432,242783800
12-09-08,21.558571,21.558571,20.928572,21.277143,14.248511,198256800
15-09-08,20.290001,21.098572,20.051428,20.051428,13.427694,230158600
16-09-08,19.122858,20.357143,18.878571,19.982857,13.381778,299959100
17-09-08,19.784286,19.787144,18.261429,18.261429,12.229001,300113800
18-09-08,18.652857,19.347143,17.24,19.155714,12.827868,419063400
19-09-08,20.371429,20.6,19.472857,20.129999,13.480309,357718900
22-09-08,19.991428,20.035715,18.665714,18.721428,12.537045,214178300
23-09-08,18.835714,19.4,18.094286,18.120001,12.134293,320091100
24-09-08,18.181429,18.707144,17.878571,18.387142,12.313183,261753800
25-09-08,18.542856,19.255714,18.360001,18.847143,12.621229,251511400
26-09-08,17.844286,18.542856,17.571428,18.32,12.268224,281612800
29-09-08,17.088572,17.097143,14.37,15.037143,10.069815,655514300
30-09-08,15.464286,16.428572,15.185715,16.237143,10.873411,406670600
01-10-08,15.988571,16.051428,15.341429,15.588572,10.439086,324121000
02-10-08,15.43,15.541429,14.285714,14.3,9.57618,402341100
03-10-08,14.857142,15.214286,13.521428,13.867143,9.286309,573599600
06-10-08,13.137143,14.111428,12.505714,14.02,9.388673,526854300
07-10-08,14.354285,14.5,12.707143,12.737143,8.529592,469693000
08-10-08,12.272857,13.761429,12.24,12.827143,8.589861,551935300
09-10-08,13.335714,13.685715,12.371428,12.677143,8.489409,404345900
10-10-08,12.242857,14.285714,12.142858,13.828571,9.260477,554824900
13-10-08,14.935715,15.79,14.431429,15.751429,10.548147,384769000
14-10-08,16.608572,16.628571,14.734285,14.868571,9.95693,495248600
15-10-08,14.834286,15.285714,13.984285,13.992857,9.370496,396043900
16-10-08,14.252857,14.775714,13.105714,14.555715,9.747419,495130300
17-10-08,14.228572,14.577143,12.27,13.914286,9.317881,440556900
20-10-08,14.254286,14.29,13.377143,14.062857,9.417373,387292500
21-10-08,13.85,13.985714,13.022857,13.07,8.752493,548415000
22-10-08,13.91,14.464286,13.275714,13.838572,9.267177,562202200
23-10-08,13.787143,14.178572,13.128572,14.032857,9.397284,418857600
24-10-08,12.904285,13.985714,12.872857,13.768572,9.220304,397514600
27-10-08,13.581429,13.947143,13.122857,13.155714,8.809893,302192800
28-10-08,13.632857,14.357142,13.195714,14.272857,9.558002,408533300
29-10-08,14.408571,15.648571,14.277143,14.935715,10.001891,487744600
30-10-08,15.461429,16.027143,15.372857,15.862857,10.622765,409522400
31-10-08,15.342857,15.825714,15.02,15.37,10.292718,414939000
03-11-08,15.132857,15.585714,14.98,15.28,10.232448,264484500
04-11-08,15.712857,15.97,15.238571,15.855714,10.617982,349670300
05-11-08,15.558572,15.674286,14.712857,14.757143,9.882308,314113800
06-11-08,14.435715,14.682858,14,14.157143,9.480512,329768600
07-11-08,14.177143,14.264286,13.674286,14.034286,9.398239,273813400
10-11-08,14.31,14.342857,13.5,13.697143,9.172466,280955500
11-11-08,13.544286,13.881429,13.18,13.538571,9.066278,306134500
12-11-08,13.204286,13.32,12.858571,12.874286,8.62143,294744100
13-11-08,12.838572,13.777143,12.288571,13.777143,9.22604,463521800
14-11-08,13.394286,13.427143,12.857142,12.891429,8.632909,351316700
17-11-08,12.64,12.935715,12.465714,12.591429,8.432014,290631600
18-11-08,12.805715,12.998571,12.408571,12.844286,8.601339,302423800
19-11-08,12.777143,13.082857,12.315714,12.327143,8.255028,292975200
20-11-08,12.177143,12.35,11.428572,11.498571,7.700166,429203600
21-11-08,11.704286,12.017143,11.305715,11.797143,7.900108,392317800
24-11-08,12.172857,13.541429,12.12,13.278571,8.892167,360564400
25-11-08,13.518572,13.53,12.594286,12.971429,8.686484,308823200
26-11-08,12.845715,13.607142,12.835714,13.571428,9.088281,224959000
28-11-08,13.528571,13.537143,13.122857,13.238571,8.865379,74443600
01-12-08,13.042857,13.181429,12.702857,12.704286,8.507588,230941900
02-12-08,12.861428,13.235714,12.357142,13.21,8.846247,287180600
03-12-08,12.771428,13.747143,12.685715,13.7,9.174378,334670000
04-12-08,13.49,13.601429,12.722857,13.058572,8.744838,272842500
05-12-08,12.907143,13.498571,12.694285,13.428572,8.992613,260948800
08-12-08,13.897142,14.4,13.685715,14.245714,9.539826,296285500
09-12-08,14.005714,14.8,13.887143,14.294286,9.572351,300874000
10-12-08,13.981428,14.212857,13.785714,14.03,9.39537,234511900
11-12-08,13.907143,14.462857,13.547143,13.571428,9.088281,260154300
12-12-08,13.257143,14.142858,13.218572,14.038571,9.401108,260293600
15-12-08,13.712857,13.744286,13.285714,13.535714,9.064364,222939500
16-12-08,13.425714,13.782857,13.25,13.632857,9.129417,273376600
17-12-08,13.004286,13.014286,12.574286,12.737143,8.529592,323465100
18-12-08,12.758572,12.975715,12.634286,12.775714,8.555419,214354000
19-12-08,12.848572,12.991428,12.685715,12.857142,8.609949,200480000
22-12-08,12.86,12.861428,12.098572,12.248571,8.202415,211185100
23-12-08,12.41,12.552857,12.271428,12.34,8.263639,158757900
24-12-08,12.305715,12.321428,12.078571,12.148571,8.135448,67833500
26-12-08,12.377143,12.488571,12.177143,12.258572,8.20911,77081200
29-12-08,12.36,12.517143,12.152857,12.372857,8.285642,171500000
30-12-08,12.488571,12.578571,12.102858,12.327143,8.255028,241900400
31-12-08,12.281428,12.534286,12.191428,12.192857,8.165102,151885300
02-01-09,12.268572,13.005714,12.165714,12.964286,8.6817,186503800
05-01-09,13.31,13.74,13.244286,13.511429,9.0481,295402100
06-01-09,13.707143,13.881429,13.198571,13.288571,8.898861,322327600
07-01-09,13.115714,13.214286,12.894286,13.001429,8.706573,188262200
08-01-09,12.918571,13.307143,12.862857,13.242857,8.868249,168375200
09-01-09,13.315714,13.34,12.877143,12.94,8.665438,136711400
12-01-09,12.922857,12.998571,12.507143,12.665714,8.481759,154429100
13-01-09,12.605714,12.82,12.335714,12.53,8.390878,199599400
14-01-09,12.32,12.464286,12.102858,12.19,8.163188,255416000
15-01-09,11.51,12.017143,11.435715,11.911428,7.976638,457908500
16-01-09,12.042857,12.054286,11.485714,11.761429,7.876194,261906400
20-01-09,11.704286,11.714286,11.171429,11.171429,7.48109,229978700
21-01-09,11.341429,11.84,11.33,11.832857,7.924025,272317500
22-01-09,12.577143,12.857142,12.26,12.622857,8.453057,352382100
23-01-09,12.402857,12.838572,12.357142,12.622857,8.453057,190942500
26-01-09,12.694285,12.995714,12.614285,12.805715,8.57551,173059600
27-01-09,12.884286,13.078571,12.82,12.961429,8.679787,154509600
28-01-09,13.16,13.571428,13.071428,13.457143,9.011748,215351500
29-01-09,13.298572,13.477143,13.228572,13.285714,8.896948,148182300
30-01-09,13.228572,13.374286,12.858571,12.875714,8.622389,162869700
02-02-09,12.728572,13.142858,12.7,13.072857,8.754407,139561800
03-02-09,13.131429,13.34,12.897142,13.282857,8.895037,149827300
04-02-09,13.317142,13.75,13.3,13.364285,8.949565,202105400
05-02-09,13.252857,13.892858,13.231428,13.78,9.227953,187311600
06-02-09,13.86,14.285714,13.857142,14.245714,9.539826,171802400
09-02-09,14.285714,14.714286,14.214286,14.644286,9.806736,178752700
10-02-09,14.475715,14.644286,13.865714,13.975715,9.359016,212265200
11-02-09,13.767143,14.044286,13.681429,13.831429,9.262394,168743400
12-02-09,13.69,14.25,13.69,14.181429,9.496775,204297100
13-02-09,14.141429,14.277143,14.017143,14.165714,9.486253,152244400
17-02-09,13.838572,13.862857,13.468572,13.504286,9.043318,169559600
18-02-09,13.578571,13.692857,13.245714,13.481428,9.02801,171194800
19-02-09,13.338572,13.464286,12.872857,12.948571,8.671177,230701100
20-02-09,12.771428,13.2,12.714286,13.028571,8.724748,187579000
23-02-09,13.092857,13.142858,12.358571,12.421429,8.318168,196745500
24-02-09,12.492857,12.984285,12.428572,12.892858,8.633868,201776400
25-02-09,12.837143,13.274285,12.75,13.022857,8.720922,208263300
26-02-09,13.142858,13.274285,12.708571,12.741428,8.532461,157467100
27-02-09,12.561429,13.042857,12.524285,12.758572,8.543941,176664600
02-03-09,12.588572,13.028571,12.524285,12.562857,8.412878,192732400
03-03-09,12.704286,12.962857,12.554286,12.624286,8.454015,181085100
04-03-09,12.882857,13.252857,12.778571,13.024285,8.721878,185350900
05-03-09,12.922857,13.124286,12.635715,12.691428,8.498977,176724800
06-03-09,12.62,12.628572,11.761429,12.185715,8.160318,252786800
09-03-09,12.025714,12.514286,11.795714,11.872857,7.950811,174574400
10-03-09,12.124286,12.738571,12.051429,12.661428,8.478887,211064700
11-03-09,12.83,13.438571,12.797143,13.24,8.866334,211593200
12-03-09,13.271428,13.797143,13.142858,13.764286,9.21743,192114300
13-03-09,13.757143,13.885715,13.572857,13.704286,9.17725,150292100
16-03-09,13.79,13.912857,13.454286,13.631429,9.128462,199311000
17-03-09,13.605714,14.241428,13.581429,14.237143,9.534085,196661500
18-03-09,14.272857,14.782857,14.245714,14.502857,9.712025,199009300
19-03-09,14.55,14.742857,14.321428,14.517143,9.721593,125045200
20-03-09,14.584286,14.73,14.367143,14.512857,9.71872,173896800
23-03-09,14.672857,15.451428,14.535714,15.38,10.299415,166599300
